Data,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto
2020-02-24,5.0,0.0,1.0,10.0,148.0,58.0,124.0,1.0,1463.0,16.0,0.0,1.0,3.0,141.0,0.0,1.0,5.0,140.0,0.0,7.0,2200.0
2020-02-25,5.0,0.0,2.0,10.0,391.0,89.0,124.0,39.0,3700.0,21.0,0.0,1.0,3.0,141.0,0.0,1.0,5.0,296.0,8.0,7.0,3780.0
2020-02-26,13.0,0.0,3.0,10.0,577.0,114.0,124.0,66.0,3208.0,28.0,0.0,1.0,3.0,156.0,0.0,1.0,5.0,363.0,8.0,7.0,4900.0
2020-02-27,33.0,0.0,14.0,10.0,1033.0,141.0,552.0,78.0,3320.0,46.0,0.0,2.0,32.0,156.0,0.0,1.0,5.0,410.0,8.0,9.0,6164.0
2020-02-28,33.0,0.0,21.0,213.0,1277.0,169.0,611.0,112.0,4835.0,47.0,0.0,2.0,32.0,227.0,242.0,1.0,5.0,437.0,8.0,9.0,7414.0
2020-02-29,43.0,32.0,27.0,373.0,1550.0,189.0,679.0,121.0,5723.0,68.0,0.0,16.0,43.0,308.0,252.0,1.0,6.0,531.0,31.0,9.0,8659.0
2020-03-01,52.0,39.0,35.0,373.0,1795.0,243.0,724.0,121.0,6879.0,101.0,6.0,20.0,122.0,362.0,262.0,29.0,291.0,572.0,35.0,10.0,9056.0
2020-03-02,52.0,39.0,39.0,373.0,1973.0,269.0,773.0,121.0,7925.0,137.0,13.0,20.0,122.0,434.0,278.0,29.0,307.0,613.0,35.0,11.0,9782.0
2020-03-03,52.0,42.0,39.0,405.0,2012.0,354.0,877.0,121.0,9577.0,200.0,13.0,20.0,122.0,458.0,298.0,29.0,307.0,697.0,45.0,12.0,10176.0
2020-03-04,85.0,48.0,46.0,429.0,2500.0,376.0,995.0,133.0,12138.0,288.0,19.0,20.0,122.0,543.0,322.0,42.0,367.0,776.0,58.0,15.0,10515.0
2020-03-05,96.0,54.0,53.0,471.0,2884.0,397.0,1175.0,146.0,12354.0,413.0,24.0,20.0,122.0,543.0,359.0,50.0,367.0,776.0,88.0,21.0,11949.0
2020-03-06,96.0,63.0,99.0,471.0,3136.0,577.0,1373.0,229.0,13556.0,585.0,104.0,36.0,122.0,793.0,395.0,99.0,367.0,1097.0,110.0,28.0,13023.0
2020-03-07,123.0,75.0,113.0,612.0,3604.0,577.0,1582.0,331.0,15778.0,816.0,112.0,36.0,194.0,1046.0,395.0,99.0,643.0,1331.0,134.0,32.0,14429.0
2020-03-08,163.0,123.0,113.0,980.0,4344.0,997.0,1929.0,401.0,18534.0,1025.0,116.0,36.0,228.0,1636.0,627.0,149.0,791.0,1618.0,168.0,41.0,15918.0
2020-03-09,237.0,135.0,173.0,980.0,4906.0,1344.0,1929.0,611.0,20135.0,1250.0,212.0,36.0,267.0,1681.0,685.0,185.0,836.0,2018.0,183.0,67.0,15956.0
2020-03-10,310.0,148.0,360.0,1141.0,5494.0,1602.0,3591.0,694.0,21479.0,1437.0,225.0,36.0,399.0,2374.0,747.0,204.0,955.0,2573.0,260.0,89.0,16643.0
2020-03-11,310.0,155.0,405.0,1375.0,6640.0,2073.0,3591.0,1025.0,25629.0,1656.0,233.0,75.0,527.0,2431.0,909.0,283.0,1194.0,2804.0,340.0,99.0,21400.0
2020-03-12,867.0,155.0,483.0,1551.0,7600.0,2604.0,5592.0,1174.0,29534.0,1907.0,238.0,607.0,593.0,2879.0,1269.0,302.0,1477.0,3165.0,458.0,118.0,23438.0
2020-03-13,958.0,155.0,504.0,1671.0,8787.0,3149.0,6491.0,1442.0,32700.0,2218.0,243.0,811.0,846.0,3105.0,1449.0,504.0,1950.0,4049.0,576.0,189.0,25691.0
2020-03-14,1232.0,155.0,711.0,1936.0,10043.0,3376.0,7335.0,1750.0,37138.0,2561.0,247.0,1135.0,1006.0,3680.0,1681.0,530.0,2100.0,4595.0,748.0,231.0,26980.0
2020-03-15,1419.0,208.0,884.0,2213.0,12054.0,3407.0,8345.0,1973.0,40369.0,2946.0,248.0,1497.0,1006.0,4375.0,2017.0,613.0,2452.0,5132.0,965.0,230.0,32546.0
2020-03-16,1533.0,230.0,1030.0,2517.0,13096.0,4851.0,9330.0,2189.0,43565.0,3225.0,253.0,1740.0,1006.0,5588.0,2017.0,797.0,2653.0,5910.0,1093.0,287.0,35052.0
2020-03-17,1688.0,262.0,1293.0,2685.0,14510.0,4958.0,9436.0,2509.0,46449.0,3225.0,301.0,2149.0,1727.0,6543.0,3077.0,1003.0,2916.0,6727.0,1323.0,398.0,35478.0
2020-03-18,2054.0,262.0,1668.0,2685.0,15461.0,4958.0,11145.0,2912.0,48983.0,4109.0,361.0,2844.0,2187.0,7516.0,3433.0,1135.0,3294.0,7606.0,1601.0,486.0,40841.0
2020-03-19,2409.0,353.0,2342.0,3544.0,18344.0,4052.0,11145.0,3348.0,52244.0,4512.0,426.0,3568.0,2203.0,8853.0,4046.0,1334.0,3961.0,8873.0,1954.0,608.0,44658.0
2020-03-20,2695.0,443.0,2690.0,3845.0,20753.0,4964.0,13889.0,3794.0,57174.0,5170.0,426.0,4433.0,2656.0,9975.0,4789.0,1912.0,4468.0,10405.0,2303.0,814.0,49288.0
2020-03-21,3035.0,522.0,3050.0,4448.0,24620.0,5955.0,13889.0,4304.0,66730.0,5740.0,449.0,5179.0,2656.0,10701.0,5617.0,2297.0,4883.0,11909.0,2712.0,884.0,53642.0
2020-03-22,3375.0,643.0,3666.0,4943.0,28022.0,6761.0,17845.0,4995.0,70598.0,6391.0,532.0,5718.0,3050.0,12701.0,6160.0,2402.0,5580.0,13264.0,3135.0,950.0,57671.0
2020-03-23,3674.0,696.0,4073.0,5813.0,31200.0,7424.0,18371.0,5538.0,73242.0,6782.0,532.0,6084.0,3150.0,13560.0,6761.0,2568.0,6375.0,13851.0,3561.0,1098.0,61115.0
2020-03-24,4294.0,744.0,4486.0,6297.0,33527.0,8526.0,18371.0,5992.0,76695.0,7229.0,572.0,6509.0,3712.0,15469.0,7345.0,2859.0,7170.0,15701.0,4108.0,1180.0,66178.0
2020-03-25,4982.0,857.0,5058.0,6972.0,38045.0,9494.0,20669.0,6602.0,81666.0,7896.0,580.0,6649.0,4114.0,16655.0,8223.0,3019.0,8312.0,17868.0,4707.0,1200.0,70877.0
2020-03-26,5488.0,1046.0,5933.0,8346.0,42395.0,10721.0,22771.0,7304.0,87713.0,8623.0,670.0,7744.0,4600.0,18054.0,9191.0,3461.0,9658.0,20952.0,5428.0,1203.0,79759.0
2020-03-27,6109.0,1254.0,6901.0,9613.0,47798.0,11841.0,24106.0,7804.0,95860.0,9060.0,710.0,8520.0,4923.0,19705.0,10233.0,3801.0,11079.0,23746.0,6137.0,1252.0,83627.0
2020-03-28,7003.0,1421.0,7760.0,10616.0,52991.0,12723.0,27179.0,8177.0,102503.0,9884.0,807.0,9168.0,5561.0,21511.0,11500.0,4225.0,13096.0,25613.0,7028.0,1380.0,89380.0
2020-03-29,7730.0,1585.0,8485.0,11805.0,52991.0,13397.0,27744.0,9100.0,107398.0,10431.0,918.0,10137.0,5950.0,24058.0,12361.0,4598.0,13814.0,27579.0,7685.0,1480.0,94784.0
2020-03-30,7948.0,1833.0,9013.0,12969.0,50990.0,14003.0,32846.0,9677.0,111057.0,10979.0,955.0,10640.0,6377.0,25478.0,13117.0,4993.0,14758.0,30099.0,8150.0,1536.0,99941.0
2020-03-31,8758.0,2043.0,9327.0,14403.0,54532.0,14899.0,34677.0,10376.0,114640.0,11724.0,1049.0,11275.0,6973.0,27658.0,14073.0,5257.0,15634.0,33165.0,8685.0,1582.0,106238.0
2020-04-01,9610.0,2262.0,9983.0,15728.0,58457.0,15987.0,35810.0,11334.0,121449.0,12296.0,1157.0,11951.0,7675.0,30060.0,15209.0,5501.0,16836.0,36575.0,9080.0,1717.0,112746.0
2020-04-02,10647.0,2427.0,10679.0,17404.0,60507.0,17121.0,41575.0,12069.0,128286.0,12943.0,1229.0,12677.0,8496.0,32100.0,16554.0,5970.0,17833.0,40724.0,9737.0,1934.0,120320.0
2020-04-03,11890.0,2622.0,11608.0,19237.0,63682.0,19985.0,43776.0,12934.0,135051.0,13678.0,1378.0,13976.0,8993.0,34281.0,17924.0,6478.0,18686.0,44460.0,10614.0,2106.0,126490.0
2020-04-04,12837.0,2765.0,12314.0,21534.0,67075.0,21126.0,44624.0,14087.0,141877.0,14472.0,1504.0,15045.0,9863.0,37181.0,18977.0,6789.0,19896.0,47886.0,11809.0,2274.0,133289.0
2020-04-05,13598.0,2931.0,13077.0,23139.0,69986.0,21652.0,44658.0,15047.0,149984.0,15252.0,1504.0,15723.0,10476.0,38539.0,20080.0,7157.0,21904.0,51006.0,12448.0,2390.0,140910.0
2020-04-06,14198.0,3061.0,13633.0,24526.0,72163.0,22272.0,47470.0,15533.0,154989.0,15919.0,1546.0,16825.0,11130.0,41123.0,22059.0,7521.0,23464.0,52849.0,12573.0,2590.0,146288.0
2020-04-07,14904.0,3160.0,14072.0,25779.0,75191.0,23536.0,48874.0,16579.0,159331.0,16619.0,1581.0,17761.0,12030.0,44121.0,23149.0,7680.0,24857.0,56651.0,13274.0,2754.0,153542.0
2020-04-08,15846.0,3296.0,14977.0,27784.0,78367.0,24798.0,55113.0,17521.0,167557.0,17532.0,2002.0,18865.0,13258.0,48495.0,24493.0,8493.0,27438.0,60985.0,14105.0,2953.0,163247.0
2020-04-09,16847.0,3474.0,15698.0,29664.0,81715.0,26205.0,58107.0,18446.0,176953.0,18194.0,2069.0,19875.0,14338.0,52807.0,26088.0,8918.0,28742.0,65461.0,15170.0,3142.0,171456.0
2020-04-10,18088.0,3696.0,16637.0,31745.0,85884.0,28097.0,61769.0,19514.0,186325.0,18970.0,2069.0,20866.0,14981.0,57457.0,27812.0,9444.0,31156.0,72001.0,16325.0,3328.0,180700.0
2020-04-11,19441.0,4050.0,17493.0,33781.0,91759.0,29685.0,65241.0,20888.0,196302.0,20060.0,2201.0,22186.0,16646.0,62577.0,29463.0,10120.0,33787.0,75756.0,17661.0,3464.0,190912.0
2020-04-12,20594.0,4355.0,18211.0,35448.0,96704.0,29988.0,68954.0,21983.0,205832.0,21057.0,2471.0,23246.0,17797.0,66555.0,30973.0,10663.0,36098.0,78640.0,18672.0,3510.0,198442.0
2020-04-13,20667.0,4545.0,18596.0,36770.0,99047.0,30941.0,72746.0,23129.0,211092.0,28379.0,2522.0,24157.0,18586.0,69170.0,31922.0,11010.0,37311.0,80889.0,18740.0,3614.0,203077.0
2020-04-14,20935.0,4759.0,19014.0,38094.0,101896.0,31764.0,74650.0,24446.0,214870.0,29160.0,2522.0,24457.0,18774.0,71678.0,33071.0,11893.0,37877.0,82269.0,18956.0,3726.0,208878.0
2020-04-15,22500.0,5037.0,19662.0,39534.0,106149.0,33800.0,75584.0,25793.0,221968.0,30329.0,2855.0,25370.0,19535.0,75664.0,34518.0,12395.0,39867.0,86348.0,20258.0,3894.0,216344.0
2020-04-16,23786.0,5349.0,20642.0,41296.0,112105.0,35766.0,81993.0,26945.0,232674.0,33778.0,2967.0,26416.0,20773.0,80708.0,36158.0,12796.0,42405.0,91651.0,21487.0,4159.0,224549.0
2020-04-17,25436.0,5710.0,21657.0,43697.0,116826.0,40030.0,84755.0,28181.0,243513.0,37997.0,3082.0,27698.0,21921.0,86714.0,38278.0,13304.0,45172.0,96231.0,22818.0,4366.0,236722.0
2020-04-18,27016.0,6056.0,22794.0,46294.0,121220.0,43293.0,89553.0,29322.0,255331.0,39909.0,3082.0,28888.0,23147.0,91844.0,40423.0,14087.0,47715.0,99903.0,24106.0,4521.0,247329.0
2020-04-19,27791.0,6528.0,23760.0,48187.0,124916.0,44622.0,91807.0,31551.0,264155.0,41474.0,3584.0,30361.0,24388.0,96569.0,42598.0,14859.0,49772.0,103975.0,25170.0,4677.0,255797.0
2020-04-20,27942.0,6868.0,24373.0,51090.0,129530.0,45161.0,97823.0,33007.0,270486.0,42782.0,3783.0,31381.0,26211.0,99669.0,44189.0,15328.0,51373.0,105857.0,25562.0,4799.0,260810.0
2020-04-21,29906.0,7470.0,25440.0,53548.0,134878.0,48500.0,100031.0,34186.0,277197.0,44332.0,4124.0,31987.0,26610.0,105434.0,45984.0,15886.0,55093.0,109925.0,26639.0,4911.0,268069.0
2020-04-22,30348.0,8040.0,26560.0,55701.0,140874.0,50869.0,104062.0,35990.0,290699.0,46492.0,4425.0,32722.0,26674.0,111513.0,48342.0,16886.0,58732.0,114100.0,27655.0,5024.0,277543.0
2020-04-23,31187.0,8511.0,27869.0,58324.0,146146.0,52918.0,111073.0,37842.0,302715.0,47662.0,4564.0,33994.0,28240.0,117970.0,50410.0,17844.0,62150.0,118177.0,29011.0,5227.0,288075.0
2020-04-24,32397.0,9026.0,28764.0,61331.0,151505.0,55502.0,114317.0,39563.0,314298.0,49163.0,4805.0,35062.0,29779.0,125300.0,52472.0,19889.0,65165.0,121336.0,30524.0,5262.0,296896.0
2020-04-25,33624.0,9792.0,29959.0,64521.0,156883.0,58375.0,118354.0,41125.0,326940.0,50996.0,5191.0,36608.0,30661.0,131107.0,54628.0,20351.0,68251.0,125495.0,31939.0,5966.0,306977.0
2020-04-26,33820.0,10077.0,30853.0,67218.0,161928.0,59681.0,121677.0,42607.0,337797.0,52063.0,5567.0,37431.0,32142.0,135142.0,55992.0,21101.0,70104.0,127394.0,32569.0,6135.0,316361.0
2020-04-27,34176.0,10364.0,31787.0,68727.0,164979.0,60940.0,124769.0,44039.0,342850.0,52765.0,5656.0,38640.0,33152.0,139348.0,56976.0,21395.0,70650.0,129048.0,32823.0,6551.0,320027.0
2020-04-28,35356.0,10889.0,33755.0,70566.0,172589.0,64151.0,128664.0,45719.0,351423.0,54313.0,5776.0,39130.0,33839.0,144531.0,58496.0,22116.0,73008.0,133617.0,33881.0,6897.0,328218.0
2020-04-29,36614.0,11331.0,34914.0,73094.0,176865.0,66769.0,133503.0,47220.0,365895.0,55905.0,5910.0,40218.0,35008.0,151266.0,60334.0,23299.0,75360.0,137482.0,34937.0,7181.0,337656.0
2020-04-30,37996.0,12774.0,35903.0,76108.0,182857.0,67930.0,137596.0,48762.0,376943.0,59488.0,6446.0,41297.0,36534.0,156534.0,62460.0,24754.0,79669.0,141849.0,36459.0,7631.0,349227.0
2020-05-01,39385.0,13269.0,37054.0,79940.0,188264.0,71013.0,143804.0,51199.0,390644.0,61241.0,6463.0,42903.0,37838.0,162568.0,64292.0,26242.0,82860.0,146456.0,37762.0,7769.0,362459.0
2020-05-02,39916.0,13722.0,37928.0,83592.0,192135.0,73855.0,147078.0,53202.0,403702.0,62834.0,7075.0,43804.0,39579.0,168479.0,65370.0,26990.0,84352.0,148223.0,38072.0,7951.0,370978.0
2020-05-03,40699.0,14210.0,38835.0,86498.0,197075.0,74990.0,150912.0,54492.0,410857.0,64412.0,7075.0,44240.0,41095.0,172208.0,66443.0,27737.0,85955.0,150914.0,38823.0,8100.0,378202.0
2020-05-04,41108.0,14901.0,39438.0,90543.0,200427.0,75421.0,153293.0,56092.0,418835.0,65398.0,7328.0,44673.0,42061.0,176078.0,67167.0,28052.0,87166.0,152447.0,39044.0,8271.0,383660.0
2020-05-05,42489.0,15476.0,40509.0,93068.0,206166.0,78510.0,157307.0,57622.0,425290.0,67256.0,7528.0,45264.0,42870.0,181316.0,69128.0,28867.0,91306.0,157260.0,39998.0,8484.0,390952.0
2020-05-06,43803.0,16103.0,41828.0,96548.0,211652.0,79429.0,160894.0,59693.0,439806.0,69037.0,7896.0,46228.0,44719.0,188057.0,70944.0,29966.0,92999.0,161553.0,41328.0,8640.0,399806.0
2020-05-07,45021.0,16272.0,42854.0,101025.0,217039.0,82012.0,165340.0,61446.0,455294.0,71017.0,8237.0,47091.0,46500.0,194584.0,72796.0,31064.0,95695.0,166062.0,42788.0,8939.0,410212.0
2020-05-08,46103.0,16777.0,43980.0,105399.0,221866.0,82902.0,169499.0,63531.0,466287.0,72504.0,8502.0,47908.0,48220.0,201183.0,74724.0,32219.0,98711.0,170296.0,44223.0,9280.0,420949.0
2020-05-09,47190.0,17433.0,45071.0,110811.0,227366.0,88384.0,174448.0,64926.0,477765.0,73965.0,8691.0,48858.0,50278.0,205800.0,76643.0,33330.0,101548.0,174596.0,45574.0,9443.0,432114.0
2020-05-10,48110.0,17916.0,46111.0,114819.0,231637.0,89449.0,178569.0,67322.0,485134.0,76367.0,9164.0,49571.0,52039.0,210370.0,78399.0,34046.0,102403.0,178208.0,46923.0,9833.0,439522.0
2020-05-11,48903.0,18266.0,47265.0,119042.0,234619.0,90860.0,181398.0,68814.0,492642.0,77830.0,9390.0,50019.0,53398.0,213783.0,79737.0,34641.0,103134.0,179469.0,47474.0,10063.0,445905.0
2020-05-12,50295.0,19100.0,48420.0,121253.0,239178.0,93051.0,185085.0,70159.0,513244.0,79414.0,9981.0,50381.0,55334.0,218071.0,81492.0,35476.0,105017.0,184851.0,49249.0,10415.0,454189.0
2020-05-13,51361.0,19678.0,49787.0,124370.0,243883.0,94600.0,188632.0,72174.0,524163.0,80850.0,10062.0,51181.0,57997.0,224788.0,83713.0,36710.0,107991.0,189026.0,50731.0,10777.0,463154.0
2020-05-14,52860.0,20285.0,51050.0,127938.0,248591.0,97000.0,192917.0,74248.0,538243.0,82840.0,10227.0,52015.0,60843.0,232682.0,85577.0,38034.0,111137.0,193182.0,52247.0,11100.0,474488.0
2020-05-15,54028.0,20851.0,52701.0,131544.0,253497.0,100400.0,197599.0,76012.0,550405.0,84351.0,10468.0,52939.0,63700.0,239507.0,87687.0,39844.0,112929.0,197365.0,53801.0,11413.0,484639.0
2020-05-16,55672.0,21496.0,54091.0,136261.0,258274.0,101694.0,201938.0,78068.0,564550.0,87211.0,10859.0,53703.0,65383.0,245075.0,89611.0,41257.0,114963.0,200703.0,55170.0,11835.0,497045.0
2020-05-17,57217.0,22167.0,55304.0,139787.0,261106.0,104056.0,206166.0,80154.0,576359.0,88656.0,11085.0,54428.0,69659.0,249371.0,91035.0,42249.0,117426.0,204022.0,55956.0,12169.0,506588.0
