Data,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto
2020-02-24,5.0,0.0,1.0,10.0,148.0,58.0,124.0,1.0,1463.0,16.0,0.0,1.0,3.0,141.0,0.0,1.0,5.0,140.0,0.0,7.0,2200.0
2020-02-25,0.0,0.0,1.0,0.0,243.0,31.0,0.0,38.0,2237.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,8.0,0.0,1580.0
2020-02-26,8.0,0.0,1.0,0.0,186.0,25.0,0.0,27.0,-492.0,7.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,67.0,0.0,0.0,1120.0
2020-02-27,20.0,0.0,11.0,0.0,456.0,27.0,428.0,12.0,112.0,18.0,0.0,1.0,29.0,0.0,0.0,0.0,0.0,47.0,0.0,2.0,1264.0
2020-02-28,0.0,0.0,7.0,203.0,244.0,28.0,59.0,34.0,1515.0,1.0,0.0,0.0,0.0,71.0,242.0,0.0,0.0,27.0,0.0,0.0,1250.0
2020-02-29,10.0,32.0,6.0,160.0,273.0,20.0,68.0,9.0,888.0,21.0,0.0,14.0,11.0,81.0,10.0,0.0,1.0,94.0,23.0,0.0,1245.0
2020-03-01,9.0,7.0,8.0,0.0,245.0,54.0,45.0,0.0,1156.0,33.0,6.0,4.0,79.0,54.0,10.0,28.0,285.0,41.0,4.0,1.0,397.0
2020-03-02,0.0,0.0,4.0,0.0,178.0,26.0,49.0,0.0,1046.0,36.0,7.0,0.0,0.0,72.0,16.0,0.0,16.0,41.0,0.0,1.0,726.0
2020-03-03,0.0,3.0,0.0,32.0,39.0,85.0,104.0,0.0,1652.0,63.0,0.0,0.0,0.0,24.0,20.0,0.0,0.0,84.0,10.0,1.0,394.0
2020-03-04,33.0,6.0,7.0,24.0,488.0,22.0,118.0,12.0,2561.0,88.0,6.0,0.0,0.0,85.0,24.0,13.0,60.0,79.0,13.0,3.0,339.0
